name,lastName,uri,imageUri,worthChange,source,industry,gender,country,timestamp,realTimeWorth,realTimeRank,realTimePosition,squareImage
Gian Marco Moratti,Moratti,gian-marco-moratti,gian-marco-moratti,,oil refinery,Energy,M,Italy,1521466307348,,,,//specials-images.forbesimg.com/imageserve/5a7f8e99a7ea431690132e70/416x416.jpg?background=000000&cropX1=92&cropX2=1351&cropY1=194&cropY2=1455
Thomas Prinzhorn,Prinzhorn,thomas-prinzhorn,no-pic,,paper and packaging,Manufacturing,M,Austria,1518126093219,,,,
Nevaldo Rocha,Rocha,nevaldo-rocha,nevaldo-rocha,-19.734,retail,Fashion & Retail,M,Brazil,1547574901333,2346.89,960,960,//specials-images.forbesimg.com/imageserve/20107223316710d6afbd0e97ce816916/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=121&cropY2=865
Fernando Roig,Roig,fernando-roig,fernando-roig,0,supermarkets,Fashion & Retail,M,Spain,1547574901334,1274.764,1700,1700,//specials-images.forbesimg.com/imageserve/5a810d5b4bbe6f2652f54498/416x416.jpg?background=000000&cropX1=297&cropX2=1859&cropY1=173&cropY2=1734
Alexander Rovt,Rovt,alexander-rovt,alexander-rovt,0,"fertilizer, real estate",Manufacturing,M,United States,1547574901334,1291.6,1678,1678,//specials-images.forbesimg.com/imageserve/5a90911ea7ea434a0c2721cc/416x416.jpg?background=000000&cropX1=438&cropX2=1365&cropY1=66&cropY2=992
Lily Safra,Safra,lily-safra,lily-safra,0,banking,Finance and Investments,F,Monaco,1547574901334,1304.2,1664,1664,//specials-images.forbesimg.com/imageserve/5a7c6cb331358e4955acecac/416x416.jpg?background=000000&cropX1=137&cropX2=3925&cropY1=394&cropY2=4183
Thomas Sandell,Sandell,thomas-sandell,thomas-sandell,0,hedge funds,Finance and Investments,M,Sweden,1547574901334,1450.1,1524,1524,//specials-images.forbesimg.com/imageserve/5a8122254bbe6f2652f545fc/416x416.jpg?background=000000&cropX1=371&cropX2=2617&cropY1=423&cropY2=2667
Yoshiyuki Sankai,Sankai,yoshiyuki-sankai,yoshiyuki-sankai,,robotics,Technology,M,Japan,1518126086327,,,,//specials-images.forbesimg.com/imageserve/5ac25818a7ea432fbc1dc9bf/416x416.jpg?background=000000&cropX1=1291&cropX2=2908&cropY1=1051&cropY2=2667
Antonio Luiz Seabra,Seabra,antonio-luiz-seabra,antonio-luiz-seabra,1.072,cosmetics,Fashion & Retail,M,Brazil,1547574901334,1574.033,1411,1411,//specials-images.forbesimg.com/imageserve/5a7b7bc2a7ea43169012ee41/416x416.jpg?background=000000&cropX1=914&cropX2=3583&cropY1=0&cropY2=2667
Kirill Shamalov,Shamalov,kirill-shamalov,kirill-shamalov,,petrochemicals,Energy,M,Russia,1538748727596,,,,//specials-images.forbesimg.com/imageserve/5a80a9b54bbe6f2652f53e96/416x416.jpg?background=000000&cropX1=769&cropX2=3201&cropY1=0&cropY2=2432
Vijay Shekhar Sharma,Sharma,vijay-shekhar-sharma,no-pic,0,financial technology,Service,M,India,1547574901333,2192.904,1049,1049,//specials-images.forbesimg.com/imageserve/5bad5476a7ea4342a948e2b0/416x416.jpg?background=000000&cropX1=737&cropX2=3237&cropY1=0&cropY2=2498
Bryan Sheffield,Sheffield,bryan-sheffield,no-pic,,oil & gas,Energy,M,United States,1518126091220,,,,http://specials-images.forbesimg.com/imageserve/584ebc984bbe6f1f20e8d080/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=84&cropY2=828
Shin Dong-Joo,Shin,shin-dong-joo,shin-dong-joo,0.468,retail,Fashion & Retail,M,South Korea,1547574901334,1062.897,1940,1940,//specials-images.forbesimg.com/imageserve/5b15b5b54bbe6f74868b92c4/416x416.jpg?background=000000&cropX1=834&cropX2=2348&cropY1=109&cropY2=1623
Evgeny (Eugene) Shvidler,Shvidler,evgeny-eugene-shvidler,evgeny-eugene-shvidler,-3.759,"oil & gas, investments",Energy,M,United States,1547574901334,1510.733,1455,1455,//specials-images.forbesimg.com/imageserve/56d0cda7e4b0c144a7f65cb5/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=48&cropY2=792
